data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,nuovi_deceduti,nuovi_guariti
2020-02-24T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,10,2,12,6,18,0,18,0,0,18,148,,,0,0
2020-02-25T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,15,2,17,9,26,8,8,0,0,26,391,,,0,0
2020-02-26T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,20,3,23,23,46,20,21,0,1,47,577,,,1,0
2020-02-27T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,36,6,42,54,96,50,50,0,1,97,1033,,,0,0
2020-02-28T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,56,6,62,81,143,47,48,0,2,145,1277,,,1,0
2020-02-29T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,86,11,97,116,213,70,72,0,4,217,1550,,,2,0
2020-03-01T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,127,13,140,137,277,64,68,0,8,285,1795,,,4,0
2020-03-02T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,148,16,164,160,324,47,50,0,11,335,1973,,,3,0
2020-03-03T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,187,24,211,187,398,74,85,4,18,420,2012,,,7,4
2020-03-04T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,256,26,282,234,516,118,124,6,22,544,2500,,,4,2
2020-03-05T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,327,32,359,299,658,142,154,10,30,698,2884,,,8,4
2020-03-06T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,397,53,450,366,816,158,172,17,37,870,3136,,,7,7
2020-03-07T18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.341720800000001,464,64,528,409,937,121,140,25,48,1010,3604,,,11,8
