data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,note_it,note_en,nuovi_deceduti,nuovi_guariti
2020-02-24T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-25T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-26T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2020-02-27T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,0,1,1,1,0,0,1,0,,,0,0
2020-02-28T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,2,2,0,0,3,242,,,0,0
2020-02-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,0,3,252,,,0,0
2020-03-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,0,3,262,,,0,0
2020-03-02T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,2,4,1,1,0,0,4,278,,,0,0
2020-03-03T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,4,6,2,2,0,0,6,298,,,0,0
2020-03-04T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,4,0,4,3,7,1,3,1,1,9,322,,,1,1
2020-03-05T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,6,12,5,5,1,1,14,359,,,0,0
2020-03-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,9,15,3,3,1,1,17,395,,,0,0
2020-03-07T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,9,2,11,12,23,8,9,1,2,26,395,,,1,0
2020-03-08T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,17,3,20,16,36,13,14,1,3,40,627,,,1,0
2020-03-09T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,20,6,26,20,46,10,10,1,3,50,685,,,0,0
2020-03-10T18:00:00,ITA,16,Puglia,41.12559576,16.86736689,28,6,34,21,55,9,9,1,3,59,747,,,0,0
2020-03-11T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,38,4,42,29,71,16,18,1,5,77,909,,,2,0
2020-03-12T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,58,2,60,38,98,27,27,1,5,104,1269,,,0,0
2020-03-13T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,77,2,79,42,121,23,25,3,5,129,1449,,,0,2
2020-03-14T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,91,6,97,59,156,35,37,2,8,166,1681,,,3,-1
2020-03-15T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,116,6,122,90,212,56,64,2,16,230,2017,,,8,0
2020-03-16T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,116,6,122,90,212,0,0,2,16,230,2017,nd-IT-0005,nd-EN-0005,0,0
2020-03-17T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,155,14,169,151,320,108,110,2,18,340,3077,,,2,0
2020-03-18T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,156,30,186,176,362,42,43,2,19,383,3433,,,1,0
2020-03-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,173,31,204,245,449,87,95,4,25,478,4046,,,6,2
2020-03-20T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,191,31,222,329,551,102,103,4,26,581,4789,,,1,0
2020-03-21T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,209,33,242,400,642,91,94,4,29,675,5617,,,3,0
2020-03-22T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,252,37,289,459,748,106,111,7,31,786,6160,,,2,3
2020-03-23T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,285,45,330,532,862,114,120,7,37,906,6761,,,6,0
2020-03-24T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,317,57,374,566,940,78,99,21,44,1005,7345,,,7,14
2020-03-25T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,349,64,413,610,1023,83,88,22,48,1093,8223,,,4,1
2020-03-26T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,480,76,556,539,1095,72,89,22,65,1182,9191,,,17,0
2020-03-27T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,530,82,612,624,1236,141,152,29,69,1334,10233,,,4,7
2020-03-28T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,563,98,661,697,1358,122,124,29,71,1458,11500,,,2,0
2020-03-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,559,99,658,774,1432,74,91,31,86,1549,12361,,,15,2
2020-03-30T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,590,106,696,889,1585,153,163,36,91,1712,13117,,,5,5
2020-03-31T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,609,105,714,940,1654,69,91,39,110,1803,14073,,,19,3
2020-04-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,637,107,744,1012,1756,102,143,61,129,1946,15209,,,19,22
2020-04-02T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,645,118,763,1101,1864,108,131,69,144,2077,16554,,,15,8
2020-04-03T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,648,123,771,1178,1949,85,105,69,164,2182,17924,,,20,0
2020-04-04T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,627,153,780,1193,1973,24,58,94,173,2240,18977,,,9,25
2020-04-05T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,574,159,733,1289,2022,49,77,113,182,2317,20080,,,9,19
2020-04-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,625,97,722,1393,2115,93,127,134,195,2444,22059,,,13,21
2020-04-07T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,615,93,708,1429,2137,22,70,168,209,2514,23149,,,14,34
2020-04-08T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,639,90,729,1509,2238,101,120,177,219,2634,24493,,,10,9
2020-04-09T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,630,86,716,1585,2301,63,82,190,225,2716,26088,,,6,13
2020-04-10T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,631,80,711,1625,2336,35,93,235,238,2809,27812,,,13,45
2020-04-11T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,627,73,700,1702,2402,66,95,249,253,2904,29463,,,15,14
2020-04-12T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,609,71,680,1772,2452,50,85,277,260,2989,30973,,,7,28
2020-04-13T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,600,71,671,1841,2512,60,76,286,267,3065,31922,,,7,9
2020-04-14T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,611,62,673,1879,2552,40,53,288,278,3118,33071,,,11,2
2020-04-15T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,592,73,665,1908,2573,21,66,323,288,3184,34518,,,10,35
2020-04-16T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,603,58,661,1964,2625,52,74,334,299,3258,36158,,,11,11
